"","time.index","tv.volume","tv.spend","radio.volume","radio.spend","press.volume","press.spend","total.spend","brand.sales","competitor.sales","revenue","profit","tv.budget.index","tv.budget","radio.budget.index","radio.budget","press.budget.index","press.budget"
"107",159,0,0,9031201,45145.3672998582,9871414,32593.4305618957,77738.7978617539,591443,2393622,4731544,4653805.20213825,4,2300000,4,550000,4,1050000
"108",160,0,0,0,0,3648350,12035.8190219602,12035.8190219602,463959,2008763,3711672,3699636.18097804,4,2300000,4,550000,4,1050000
"109",161,79888830,479403.030053877,8194528,40981.3646974239,7977207,26311.0826349486,546695.47738625,1297127,2978323,10377016,9830320.52261375,4,2300000,4,550000,4,1050000
"110",162,0,0,0,0,6985141,23048.1077235344,23048.1077235344,652701,2102711,5221608,5198559.89227647,4,2300000,4,550000,4,1050000
"111",163,0,0,0,0,5597796,18467.5330896907,18467.5330896907,612893,2253339,4903144,4884676.46691031,4,2300000,4,550000,4,1050000
"112",164,0,0,7530471,37651.6240057845,5942556,19618.8640348077,57270.4880405921,475822,1887497,3806576,3749305.51195941,4,2300000,4,550000,4,1050000
"113",165,42078403,252417.918998925,0,0,8392409,27714.6458229668,280132.564821891,994442,2395251,7955536,7675403.43517811,4,2300000,4,550000,4,1050000
"114",166,0,0,4841055,24209.8606010983,8504240,28058.1020913315,52267.9626924298,586481,1954833,4691848,4639580.03730757,4,2300000,4,550000,4,1050000
"115",167,0,0,0,0,4409415,14548.6471317437,14548.6471317437,511053,1937988,4088424,4073875.35286826,4,2300000,4,550000,4,1050000
"116",168,0,0,1256260,6295.15483818392,5451295,17992.8746410948,24288.0294792788,384599,1541224,3076792,3052503.97052072,4,2300000,4,550000,4,1050000
"117",169,11850435,71132.6601070951,700120,3497.7031970687,5537165,18264.6289821751,92894.9922863389,661469,2115554,5291752,5198857.00771366,4,2300000,4,550000,4,1050000
"118",170,0,0,3994937,19966.7085048559,5120922,16903.2948908511,36870.0033957069,517772,2051422,4142176,4105305.99660429,4,2300000,4,550000,4,1050000
"119",171,0,0,0,0,4373956,14435.1503121818,14435.1503121818,491824,2083034,3934592,3920156.84968782,4,2300000,4,550000,4,1050000
"120",172,0,0,0,0,4655001,15356.5343292097,15356.5343292097,363844,1589827,2910752,2895395.46567079,4,2300000,4,550000,4,1050000
"121",173,0,0,316202,1577.99427382202,4182486,13804.7351449176,15382.7294187397,367460,1659663,2939680,2924297.27058126,4,2300000,4,550000,4,1050000
"122",174,43327493,260055.805111597,0,0,2069639,6830.35548793952,266886.160599537,877130,2238776,7017040,6750153.83940046,4,2300000,4,550000,4,1050000
"123",175,0,0,0,0,4555238,15043.8349064174,15043.8349064174,450815,1618986,3606520,3591476.16509358,4,2300000,4,550000,4,1050000
"124",176,13739441,82408.8875646931,0,0,3680249,12156.5695630604,94565.4571277535,587718,1748741,4701744,4607178.54287225,4,2300000,4,550000,4,1050000
"125",177,0,0,0,0,4105413,13549.0595476259,13549.0595476259,436404,1661511,3491232,3477682.94045237,4,2300000,4,550000,4,1050000
"126",178,16851579,101176.247298256,586959,2936.71916861661,2239492,7389.36513121741,111502.33159809,561670,1643114,4493360,4381857.66840191,4,2300000,4,550000,4,1050000
"127",179,0,0,0,0,5557825,18346.3382788067,18346.3382788067,351269,1311304,2810152,2791805.66172119,4,2300000,4,550000,4,1050000
"128",180,0,0,527360,2634.61093656917,2589115,8549.73104651046,11184.3419830796,314551,1305964,2516408,2505223.65801692,4,2300000,4,550000,4,1050000
"129",181,0,0,0,0,4484874,14797.0645951216,14797.0645951216,337084,1453000,2696672,2681874.93540488,4,2300000,4,550000,4,1050000
"130",182,0,0,0,0,1718442,5662.17282998489,5662.17282998489,258099,1173713,2064792,2059129.82717002,4,2300000,4,550000,4,1050000
"131",183,0,0,0,0,4626001,15270.8855088081,15270.8855088081,335839,1531938,2686712,2671441.11449119,4,2300000,4,550000,4,1050000
"132",184,0,0,0,0,1440176,4748.09500565564,4748.09500565564,301350,1441958,2410800,2406051.90499434,4,2300000,4,550000,4,1050000
"133",185,0,0,0,0,7816149,25803.6131753104,25803.6131753104,304734,1394242,2437872,2412068.38682469,4,2300000,4,550000,4,1050000
"134",186,0,0,0,0,0,0,0,286264,1419750,2290112,2290112,4,2300000,4,550000,4,1050000
"135",187,0,0,0,0,9106611,30051.9576762478,30051.9576762478,307996,1417699,2463968,2433916.04232375,4,2300000,4,550000,4,1050000
"136",188,0,0,3451457,17255.8481782703,240276,791.734805958122,18047.5829842284,259261,1286401,2074088,2056040.41701577,4,2300000,4,550000,4,1050000
"137",189,0,0,2918302,14583.3645378548,9292972,30674.1019873963,45257.466525251,329798,1530965,2638384,2593126.53347475,4,2300000,4,550000,4,1050000
"138",190,44878987,269260.063521528,0,0,2680721,8845.23657033211,278105.30009186,790135,2051466,6321080,6042974.69990814,4,2300000,4,550000,4,1050000
"139",191,0,0,7286085,36427.3019043272,12423523,40992.7258878937,77420.0277922209,439646,1545354,3517168,3439747.97220778,4,2300000,4,550000,4,1050000
"140",192,0,0,0,0,911047,3002.00276952268,3002.00276952268,428942,1775436,3431536,3428533.99723048,4,2300000,4,550000,4,1050000
"141",193,0,0,9720593,48599.6755648403,10060622,33212.4807769462,81812.1563417865,397862,1641129,3182896,3101083.84365821,4,2300000,4,550000,4,1050000
"142",194,69781767,418713.322583677,0,0,7701759,25419.8035133878,444133.126097064,1108464,2521443,8867712,8423578.87390293,4,2300000,4,550000,4,1050000
"143",195,0,0,2438729,12196.2350034379,8324391,27465.6202748218,39661.8552782597,670819,2166162,5366552,5326890.14472174,4,2300000,4,550000,4,1050000
"144",196,0,0,2894458,14474.6644007154,6910844,22793.4957341465,37268.1601348619,498526,1810681,3988208,3950939.83986514,4,2300000,4,550000,4,1050000
"145",197,0,0,0,0,3784117,12489.48413404,12489.48413404,487473,1931468,3899784,3887294.51586596,4,2300000,4,550000,4,1050000
"146",198,12758820,76533.3833005359,0,0,10855553,35824.3431800684,112357.726480604,640746,1940995,5125968,5013610.2735194,4,2300000,4,550000,4,1050000
"147",199,0,0,1362309,6813.10046734256,5985505,19752.1003214547,26565.2007887972,661744,2537801,5293952,5267386.7992112,4,2300000,4,550000,4,1050000
"148",200,0,0,7187247,35937.17096877,11807020,38957.0718376481,74894.2428064181,498496,1953959,3987968,3913073.75719358,4,2300000,4,550000,4,1050000
"149",201,0,0,0,0,4019726,13262.004185764,13262.004185764,428098,1808050,3424784,3411521.99581424,4,2300000,4,550000,4,1050000
"150",202,0,0,3657442,18281.2937271187,9299778,30677.1381065839,48958.4318337026,419902,1764734,3359216,3310257.5681663,4,2300000,4,550000,4,1050000
"151",203,0,0,0,0,5969971,19704.9476392411,19704.9476392411,475308,2078879,3802464,3782759.05236076,4,2300000,4,550000,4,1050000
"152",204,0,0,4989652,24939.5827788576,5695645,18796.5923024791,43736.1750813367,489905,2195469,3919240,3875503.82491866,4,2300000,4,550000,4,1050000
"153",205,20619741,123707.670202997,3824586,19116.0239625688,13574289,44794.7966411362,187618.490806702,849490,2523779,6795920,6608301.5091933,4,2300000,4,550000,4,1050000
"154",206,0,0,2927703,14646.0043351712,4405553,14546.596111314,29192.6004464852,565266,2209356,4522128,4492935.39955351,4,2300000,4,550000,4,1050000
"155",207,27529949,165191.011256819,2426791,12140.0185835766,14389770,47471.137626238,224802.167466633,879595,2324123,7036760,6811957.83253337,4,2300000,4,550000,4,1050000
"156",208,0,0,10832536,54151.955965047,8836981,29156.305362514,83308.261327561,562470,1988831,4499760,4416451.73867244,4,2300000,4,550000,4,1050000
